Timestamp,Elbow
8.467636,149.6595
8.484053,149.0854
8.50077,148.4416
8.517487,147.7414
8.534204,146.7001
8.550921,145.0739
8.567638,142.7704
8.584355,139.6989
8.600772,136.2298
8.617489,132.6962
8.633906,128.9791
8.650623,125.0202
8.66734,121.454
8.684057,118.324
8.700774,115.2102
8.717491,111.6434
8.734208,108.0538
8.750625,105.1944
8.767342,102.6498
8.783759,99.4406
8.800476,95.7984
8.817193,91.9562
8.83391,88.5834
8.850627,86.107
8.867344,82.8766
8.884061,79.2153
8.900478,76.1151
8.917195,72.978
8.933912,68.9352
8.950629,65.5883
8.967346,63.4488
8.984063,61.3604
9.00078,59.145
9.017497,55.9819
9.034214,52.5046
9.050631,49.5638
9.067348,47.1395
9.084065,44.713
9.100782,42.0092
9.117499,39.0697
9.134216,36.0205
9.150933,33.3698
9.16765,31.1615
9.184367,28.9757
9.200784,26.3997
9.217501,23.3195
9.233918,20.2056
9.250635,17.3465
9.267352,15.0953
9.284069,13.1321
9.300786,11.1607
9.317503,9.3304
9.33422,7.5761
9.350637,6.0603
9.367354,4.7959
9.383771,3.8826
9.400488,3.1336
9.417205,2.5733
9.433922,2.2216
9.450639,1.9806
9.467356,1.7561
9.484073,1.7115
9.50049,1.7478
9.517207,1.7656
9.533924,1.7589
9.550641,1.8366
9.567358,2.0059
9.584075,2.2116
9.600792,2.357
9.617509,2.3923
9.634226,2.3197
9.650643,2.3069
9.66736,2.431
9.684077,2.6408
9.700794,2.8685
9.717511,3.0588
9.734228,3.1968
9.750945,3.2447
9.767662,3.3139
9.784379,3.5509
9.800796,3.9395
9.817513,4.4209
9.83393,4.9461
9.850647,5.4955
9.867364,6.3068
9.884081,7.5051
9.900798,9.1999
9.917515,11.0549
9.934232,12.7558
9.950649,14.4646
9.967366,16.6156
9.983783,19.1691
10.0005,21.9861
10.017217,24.9325
10.033934,27.7837
10.050651,30.2859
10.067368,32.4462
10.084085,34.8099
10.100502,36.9715
10.117219,38.9116
10.133636,41.7519
10.150353,45.812
10.16707,50.0717
10.183787,54.0307
10.200504,57.2846
10.217221,59.4927
10.233938,62.1198
10.250655,66.0872
10.267372,70.4237
10.283789,74.0362
10.300506,76.7031
10.317223,80.2491
10.33394,84.3068
10.350657,88.2471
10.367374,92.2068
10.384091,95.64
10.400808,98.9235
10.417525,103.4076
10.434242,108.4405
10.450959,113.384
10.467676,117.7416
10.484393,121.0842
10.50111,123.1076
10.517827,125.1863
10.534544,128.3316
10.550961,131.7582
10.567678,134.6742
10.600812,139.2815
10.617529,141.4963
10.634246,144.1875
10.650963,146.7023
10.66768,148.7532
10.684397,149.995
10.717531,151.2342
10.733948,151.4924
10.750665,151.5824
10.767382,151.6564
10.784099,151.5671
10.800816,151.3567
10.817533,151.0918
10.83425,150.7679
10.867384,149.8323
10.884101,149.1248
10.900818,148.448
10.917535,147.6886
10.934252,146.6344
10.950969,145.1495
10.967686,142.9719
10.984403,140.1668
11.00082,136.9111
11.017537,133.0809
11.034254,128.8651
11.050971,124.6495
11.067688,120.5594
11.084405,116.2916
11.101122,111.8287
11.117839,107.3209
11.134556,103.1941
11.150973,99.3428
11.16769,95.3748
11.184407,91.4917
11.201124,87.1594
11.217841,82.7593
11.234558,78.9726
11.251275,75.4778
11.267992,71.6866
11.284709,67.6322
11.301126,63.6808
